,author,title,datepublished,isbn13,Title,Author,PublishedDate,ISBN13
3485,,,,,"Der größte Spaß, den wir je hatten",['Claire Lombardo'],2019,9783423436335
3486,,,,,Mai stati così felici,['Claire Lombardo'],2022,9788830106079
3487,,,,,Nejhezčí dny našich životů,['Claire Lombardo'],2021,9788024944432
3488,,,,,亲爱的乔纳,['Claire Lombardo'],2022,9787545567564
3489,,,,,En lyckligare tid,['Claire Lombardo'],2022,9789180063593
3490,,,,,Purgatorio,"['Dante Alighieri', 'Claire E. Honess', 'Matthew Treherne']",2016,9781624664915
3491,,,,,Very Nice,['Marcy Dermansky'],2020,9780525565222
3492,,,,,Twins,['Marcy Dermansky'],2006,9780060759797
3493,,,,,Bad Marie,['Marcy Dermansky'],2010,9780062000064
3494,,,,,Hurricane Girl,['Marcy Dermansky'],2023,9780593315354
3495,,,,,Twins,['Marcy Dermansky'],2005,9780755325641
3496,,,,,The Red Car,['Marcy Dermansky'],2016,9781631492334
3497,,,,,The Red Car,['Marcy Dermansky'],2016,9781504745260
3498,,,,,Wirklich nett,['Marcy Dermansky'],2021,9783644300477
3499,,,,,Très sympa,['Marcy Dermansky'],2022,9782258192607
3500,,,,,נחמד מאוד,['Marcy Dermansky'],2022,9789655744071
3501,,,,,Wirklich nett,['Marcy Dermansky'],2020,9783463407180
3502,,,,,The Red Car: A Novel,['Marcy Dermansky'],2016,9781631492341
3503,,,,,Twins,['Marcy Dermansky'],2012,9780062206398
3504,,,,,Very Nice,['Marcy Dermansky'],2019,9780525655640
3505,,,,,"Llive, Llaugh, Llove Llike a Llama",['Pop Press'],2018,9780525575269
3506,,,,,You Are Awesome AF,['Pop Press'],2018,9781785036835
3507,,,,,Chuck Yeah Notebook - Chuck Norris Merch - Walker - Texas Ranger - Funny Texas Ranger Merch - Chuck Norris Fans - Pop Fiction Press - Pop Fiction Press Notebooks,['Pop Press'],2020,9798664958201
3508,,,,,Fancy Frenchies,['Pop Press'],2018,9781785038556
3509,,,,,To the Best Teacher,['Pop Press'],2021,9781473595675
3510,,,,,Be More Snail,['Pop Press'],2021,9781529192339
3511,,,,,Taylor Swift Lines To Live By,['Pop Press'],2022,9781529149395
3512,,,,,Ariana Grande Lines To Live By,['Pop Press'],2022,9781529149388
3513,,,,,K-Pop Vibes Only,['K-Pop K-Pop Press Co.'],2019,9781077160170
3514,,,,,The Best Ever Book of Halloween Stencils,['Pop Press'],2023,9781529913132
3515,,,,,Deliciously G-Free,['Elisabeth Hasselbeck'],2012,9780345529404
3516,,,,,Point of View,['Elisabeth Hasselbeck'],2021,9780525652786
3517,,,,,The G-Free Diet,['Elisabeth Hasselbeck'],2009,9781599952741
3518,,,,,Flashlight Night,['Elisabeth Hasselbeck'],2021,9780525652793
3519,,,,,Deliciously G-Free,['Elisabeth Hasselbeck'],2012,9780345529381
3520,,,,,Kathleen Glasgow Three-Book Boxed Set: Girl in Pieces; How to Make Friends with the Dark; You'd Be Home Now,['Kathleen Glasgow'],2023,9780593703588
3521,,,,,You'd Be Home Now,['Kathleen Glasgow'],2021,9780525708049
3522,,,,,The Night In Question,"['Liz Lawson', 'Kathleen Glasgow']",2023,9780861545704
3523,,,,,Girl in Pieces,['Kathleen Glasgow'],2018,9781101934746
3524,,,,,Girl in Pieces,['Kathleen Glasgow'],2016,9781460705681
3525,,,,,How to Make Friends with the Dark,['Kathleen Glasgow'],2020,9781101934784
