,author,title,datepublished,isbn13
37175,['Tom Percival'],A Home for Mr Tipps,2011,9780007345618
37176,['Tom Percival'],Quiet,2024,9781471173929
37177,['TOM. PERCIVAL'],Billy's Bravery,2023,9781526658784
37178,['Tom Percival'],Silas and the Marvellous Misfits,2021,9781529029192
37179,['Tom Percival'],Attack of the Heebie-Jeebies,2020,9781529029154
37180,['Tom Percival'],Finn's Little Fibs,2023,9781547612956
37181,['Tom Percival'],The Secret Mountain,2018,9781338354843
37182,['Tom Percival'],Milans monster,2022,9789464291810
37183,['Leah Thomas'],Nowhere Near You,2018,9781681191805
37184,['Leah Thomas'],The Intersectional Environmentalist,2022,9780316281935
37185,['Leah Thomas'],Violet Ghosts,2021,9781547604647
37186,['Leah Thomas'],When Light Left Us,2018,9781681191812
37187,['Leah Thomas'],Wild and Crooked,2019,9781547600014
37188,['Leah Thomas'],Because You'll Never Meet Me,2017,9781681190211
37189,['Leah Dean Thomas'],Remarkable,2020,9798631067905
37190,['Leah Thomas'],Just Care,2019,9781978701779
37191,['Leah Thomas'],Stop Ostracising Your Negative Family and Friends - Love No Matter What,2016,9781365472961
37192,"['Thomas Brown', 'Leah Sims']",Fugitive Slave Advertisements in The City Gazette,2015,9781498507820
37193,"['Thomas H. Olbricht', 'Leah G. Hopkins']","Bat, Scalpel, Sheepskin, Beneath the Cross",2018,9781595557292
37194,"['Robert Gardner', 'Dr. Thomas R. Rybolt', 'Leah M. Rybolt']",Ace Your Science Project About the Senses,2009,9780766056756
37195,"['Alyson Leah Lavigne', 'Thomas L. Good']",Teacher and Student Evaluation,2013,9781135093266
37196,"['Leah M. Rybolt', 'Dr. Thomas R. Rybolt']",Smelly Science Fair Projects,2015,9780766070226
37197,"['Seanan McGuire', 'Stephen Blackmoore', 'James Enge', 'Nancy Holzner', 'Tanya Huff', 'Violette Malan', 'Zakariah Johnson', 'Marjorie King', 'Aimee Picchi', 'Eleftherios Keramidas', 'Thomas Vaughn', 'Leah Ning', 'Jason Palmatier', 'Blake Jessop']",Apocalyptic,2020,9781940709345
37198,['Shulem Deen'],All Who Go Do Not Return,2015,9781555973377
37199,['Shulem Deen'],Los que se van no regresan,2021,9788412324259
37200,['Shulem Deen'],Celui qui va vers elle ne revient pas,2017,9782211232111
37201,['Shulem Deen'],"Kto odejdzie, już nie wróci",2020,9788381910927
37202,['Shulem Deen'],"Kdo odejde, už se nevrací",2023,9788074075483
37203,['Shulem Deen'],Indietro non si torna,2019,9788899438357
37204,['James R. Hansen'],First Man,2018,9781982104344
37205,['James R. Hansen'],Completely Mad,2023,9781639364183
37206,['James R Hansen'],First Man,2018,9791185716695
37207,['James R. Hansen'],A Reluctant Icon,2020,9781557539694
37208,"['Josh Singer', 'James R. Hansen']",First Man - The Annotated Screenplay,2018,9781785659997
37209,['James R. Hansen'],The Bird Is on the Wing,2004,9781585442430
37210,['James R. Hansen'],A Difficult Par,2015,9781592409396
37211,"['John W. Young', 'James R. Hansen']",Forever Young,2013,9780813049335
37212,['Paul Rademacher'],A Spiritual Hitchhiker's Guide to the Universe,2009,9781571745972
37213,"['C. Rocco', 'Nathan Marchand', 'Karl Rademacher', 'V. Waks', 'C. Marks', 'Pete Lewia', 'Damon Alan', 'Alvin Burstein', 'Mary Fan', 'Jossy Rocco', 'Ames Rocco', 'Matthew Amati', 'Kate Runnels', 'Catherine Fitzsimmons', 'Paul Lell']",Missing Pieces IX,2018,9781721889754
