,isbn13,datepublished,totalrevenue,totalunits,price
43857,9781782496175.0,2017-09-15,58509,72,804.671875
43858,9781782496199.0,2017-09-15,92814,60,1735.7115384615386
43859,9781782496212.0,2018-07-11,9430,16,995.6521739130435
43860,9781782497530.0,2019-02-12,18731,15,1370.2896551724139
43861,9781782497547.0,2019-04-09,45630,48,1037.4411764705883
43862,9781782497554.0,2019-03-12,21617,18,1427.3739837398373
43863,9781782497561.0,2019-02-12,1998,2,999.0
43864,9781782497592.0,2019-04-09,514129,460,1078.9096989966556
43865,9781782497639.0,2019-03-12,40603,29,1484.892857142857
43866,9781782497684.0,2018-12-06,228488,291,1078.3021582733813
43867,9781782497691.0,2018-12-06,10490,11,853.7899159663865
43868,9781782497738.0,2018-12-06,55826,56,1028.9270833333333
43869,9781782497790.0,2018-12-06,101921,94,1028.8663239074551
43870,9781782497813.0,2018-12-06,3591,6,892.5
43871,9781782497820.0,2018-12-06,46542,46,987.2715517241379
43872,9781782504535.0,2017-07-27,35553,77,450.625
43873,9781782504542.0,2017-09-14,5532,12,461.0
43874,9781782504573.0,2017-10-19,1018048,980,1057.5228070175438
43875,9781782504917.0,2018-04-19,4635,12,397.4117647058824
43876,9781782505389.0,2018-09-13,1498,2,749.0
43877,9781782505723.0,2019-02-21,0,0,599.0
43878,9781782554523.0,2017-10-01,89505,86,898.1854636591479
43879,9781782554561.0,2018-07-01,70285,42,1499.7586206896551
43880,9781782554578.0,2017-12-01,2275,7,790.5698924731183
43881,9781782642480.0,2017-10-20,0,0,999.0
43882,9781782642633.0,2018-08-24,2465595,2163,1099.4150943396226
43883,9781782642657.0,2018-05-18,1772,2,979.8888888888889
43884,9781782642688.0,2019-09-20,1859413,1689,1104.4756097560976
43885,9781782690429.0,2018-09-04,32368,34,1032.1935483870968
43886,9781782691389.0,2017-08-08,5995,5,1199.0
43887,9781782691624.0,2017-09-07,8610,14,409.25
43888,9781782691778.0,2020-02-04,1998,2,848.9810126582279
43889,9781782692218.0,2019-08-13,2997,3,956.2142857142857
43890,9781782692393.0,2019-04-16,5994,6,1008.76
43891,9781782769118.0,2017-12-30,198025,89,2213.25
43892,9781782790709.0,2017-10-27,85334,51,1693.918918918919
43893,9781782792123.0,2018-09-28,125366,88,1196.2781690140846
43894,9781782792888.0,2019-05-31,70057,91,766.9029850746268
43895,9781782796961.0,2017-12-08,797915,1213,690.2002503128911
43896,9781782797876.0,2017-10-27,0,0,799.0
43897,9781782798811.0,2017-09-29,94088,149,639.7150537634409
43898,9781782814597.0,2018-05-15,0,0,599.0
43899,9781782818151.0,2018-05-15,549,1,489.52272727272725
43900,9781782830047.0,1970-02-08,1996,4,499.0
43901,9781782830047.0,2010-04-01,1474653,2439,497.0299727520436
43902,9781782831464.0,2014-06-05,71595,91,793.1851851851852
43903,9781782831815.0,2015-08-27,167706,254,675.8600823045267
43904,9781782832386.0,2019-03-28,6993,7,999.0
43905,9781782832454.0,2016-02-04,36865,43,856.6201117318436
43906,9781782832898.0,2017-07-06,0,0,728.0
43907,9781782832980.0,2017-09-07,7645,14,535.7814207650273
43908,9781782833321.0,2016-11-03,15673,94,197.28666666666666
43909,9781782833499.0,2019-01-03,0,0,1397.3
43910,9781782833499.0,2019-01-10,99473,98,1034.6044776119404
43911,9781782833635.0,2017-09-28,1154040,1836,533.3363286264441
43912,9781782833871.0,2017-11-02,184755,863,68.38870431893687
43913,9781782834199.0,2018-03-29,130138,122,1047.3776223776224
43914,9781782834441.0,2019-01-03,8205,3,2715.6363636363635
43915,9781782834441.0,2019-01-10,810717,561,1512.8283433133734
43916,9781782834533.0,2017-11-02,511230,1042,386.4143763213531
43917,9781782834953.0,2018-10-02,3226,13,296.7416666666667
43918,9781782834953.0,2018-10-04,69678,368,188.15165876777252
43919,9781782835110.0,2019-02-07,349764,413,894.1007751937984
43920,9781782836667.0,2020-01-30,1606,3,792.723076923077
43921,9781782836667.0,2020-02-06,14952,25,742.0795454545455
43922,9781782836667.0,2020-02-07,0,0,906.3333333333334
43923,9781782898559.0,2014-08-15,3015,9,335.0
43924,9781782899112.0,2014-08-15,8818,29,306.0
43925,9781782925545.0,2016-09-18,14263,71,301.2352941176471
43926,9781783010691.0,2013-04-24,38373,45,969.438596491228
43927,9781783010691.0,2013-04-25,321950,329,976.9803921568628
43928,9781783017751.0,2018-06-03,1197,3,416.8095238095238
43929,9781783031146.0,2014-05-19,8752,12,727.8461538461538
43930,9781783031146.0,2020-01-31,0,0,989.0
43931,9781783031924.0,2011-07-12,5702,9,574.4545454545455
43932,9781783032402.0,2014-05-19,3679,21,199.0
43933,9781783033171.0,2013-06-25,26372,28,994.2380952380952
43934,9781783033416.0,2013-06-25,3796,4,999.0
43935,9781783033560.0,2008-09-22,5577,9,726.0
43936,9781783033744.0,2005-07-19,959,1,955.375
43937,9781783033744.0,2013-02-26,12903,17,849.7741935483871
43938,9781783033744.0,2020-01-24,0,0,999.0
43939,9781783035007.0,2013-10-06,0,0,599.0
43940,9781783035007.0,2019-02-20,104276,120,1619.3428571428572
43941,9781783035540.0,2013-04-08,5691,9,649.0
43942,9781783035540.0,2020-01-31,0,0,989.0
43943,9781783035960.0,2013-06-25,0,0,878.0
43944,9781783089512.0,2019-04-30,0,0,4367.461538461538
43945,9781783230365.0,2014-04-14,5544,6,1029.0
43946,9781783234202.0,2017-08-08,16983,17,1023.6818181818181
43947,9781783235292.0,2015-02-09,1998,2,999.0
43948,9781783235292.0,2018-08-16,477110,478,791.0275
43949,9781783239290.0,2017-08-30,550896,536,1041.3729096989966
43950,9781783239399.0,2017-08-14,184119,182,875.2102564102564
43951,9781783239436.0,2017-09-11,63405,57,1142.9642857142858
43952,9781783239566.0,2017-10-19,58201,64,124.91463414634147
43953,9781783239689.0,1976-03-09,0,0,969.0
43954,9781783239689.0,2017-09-04,326222,268,1289.6122004357298
43955,9781783239696.0,2017-10-26,706862,711,1006.4633838383838
43956,9781783253135.0,2018-12-27,297803,589,465.10869565217394
43957,9781783253241.0,2019-06-06,699,1,703.6451612903226
43958,9781783253272.0,2014-01-03,0,0,0.0
43959,9781783253272.0,2018-12-27,663100,765,703.660465116279
43960,9781783253326.0,2019-06-13,39804,72,722.8688524590164
43961,9781783253609.0,2019-09-05,16498,19,843.8478260869565
43962,9781783253708.0,2019-12-26,31960,45,633.2702702702703
43963,9781783293087.0,2018-03-27,54387,71,733.0493827160494
43964,9781783294107.0,2017-09-12,7690,10,696.0588235294117
43965,9781783294121.0,2018-09-11,2397,3,799.0
43966,9781783294121.0,2018-09-18,34357,44,797.66
43967,9781783295852.0,2017-07-04,221949,245,944.6513513513513
43968,9781783295968.0,2017-11-21,1256525,1785,1024.8429447852761
43969,9781783295982.0,2018-11-13,118060,177,654.8881118881119
43970,9781783295982.0,2018-11-20,391115,699,573.5936739659368
43971,9781783296774.0,2018-01-30,308949,392,755.965034965035
43972,9781783297092.0,2018-02-20,306931,467,651.6611111111112
43973,9781783297177.0,2017-09-19,100769,111,854.839530332681
43974,9781783297726.0,2018-05-08,121956,124,997.9429824561404
43975,9781783298020.0,2017-12-26,0,0,59.416666666666664
43976,9781783298693.0,2018-03-20,257987,300,810.360655737705
43977,9781783299102.0,2017-12-26,235751,310,593.521875
43978,9781783299119.0,2018-06-26,144179,218,666.2231404958678
43979,9781783299140.0,2018-12-04,88593,149,582.1176470588235
43980,9781783299140.0,2018-12-25,41548,52,798.28025477707
