,Author,Title,PublishedDate,ISBN13
17779,"['Marvin Weisbord', 'Sandra Janoff']",Future Search,2010,9781605099842
17780,"['Marvin R. Weisbord', 'Sandra Janoff']","Don't Just Do Something, Stand There!",2007,9781605093161
17781,"['Marvin R. Weisbord', 'Sandra Janoff']","Lead More, Control Less",2015,9781626564138
17782,"['Marvin Weisbord', 'Sandra Janoff']","Lead More, Control Less",2015,9781459698611
17783,['Marvin R.; Janoff Weisbord (Sandra)'],Lead More,2015,9781626564121
17784,"['Marvin Weisbord', 'Sandra Janoff']","Lead More, Control Less",2015,9780369324894
17785,"['Marvin R. Weisbord', 'Sandra Janoff']",Future Search,2010,9781605094281
17786,"['Marvin Weisbord', 'Sandra Janoff']",Future Search,1999,9781583760352
17787,"['Marvin Weisbord', 'Sandra Janoff']","Don't Just Do Something, Stand There!",2011,9780369323774
17788,['Kevin Sands'],Call of the Wraith,2018,9781534428492
17789,['Kevin Sands'],The Blackthorn Key,2015,9781481446518
17790,['Kevin Sands'],Seekers of the Fox,2022,9780593327562
17791,['Kevin Sands'],Champions of the Fox,2023,9780593620977
17792,['Kevin Sands'],Children of the Fox,2021,9780593327531
17793,['Kevin Sands'],The Assassin's Curse,2017,9781534405233
17794,['Kevin Sands'],The Traitor's Blade,2022,9781534484573
17795,['Kevin Sands'],Mark of the Plague,2016,9781481446761
17796,['Kevin Sands'],The Raven's Revenge,2023,9781534484597
17797,['Kevin Sands'],Seekers of the Fox,2022,9780735270442
17798,['Kevin Sands'],The Blackthorn Key Cryptic Collection Books 1-4 (Boxed Set),2019,9781534460812
17799,['Kevin Sands'],Children of the Fox,2021,9780735270411
17800,"['Kevin Sands', 'James Riley', 'J. D. Rinehart', 'Jonathan Maberry', 'Kevin Sylvester', 'Robert Venditti']",Find Your Hero Chapter Sampler,2015,9781481467407
17801,['Kevin Sands'],The Blackthorn Key Gripping Collection Books 1-3,2018,9781534416321
17802,['Kevin Sands'],Le mystère Blackthorn,2016,9782747069434
17803,['Kevin Sands'],El enigma de Blackthorn,2016,9786077359487
17804,"['Brian Herbert', 'Kevin J. Anderson']",Sands of Dune,2023,9781399606035
17805,['Kevin Sands'],La señal de la plaga,2017,9786075273068
17806,"['Robert J. Alexander', 'Eldon Parker']",International Labor Organizations and Organized Labor in Latin America and the Caribbean: A History,2009,9780313381836
17807,['Robert L. Anderson'],Dreamland,2015,9780062338693
17808,"[""Robert O'Brien"", 'Anne Marie Goetz', 'Jan Aart Scholte', 'Marc Williams']",Contesting Global Governance,2000,9780521774406
17809,"['Robert Jackson Alexander', 'Eldon M. Parker']",A History of Organized Labor in Uruguay and Paraguay,2005,9780275977450
17810,"['Robert J. Marzano', 'Timothy Waters', 'Brian A. McNulty']",School Leadership that Works,2005,9781416602279
17811,"['Kenneth Leithwood', 'Robert Aitken', 'Doris Jantzi']",Making Schools Smarter,2006,9781412917636
17812,['Robert L. Beisner'],American Foreign Relations Since 1600,2003,9781576070802
17813,"['Teresa N. Miller', 'Mary Devin', 'Robert J. Shoop']",Closing the Leadership Gap,2007,9781452293653
17814,"['Bruce M. Whitehead', 'Floyd Boschee', 'Robert H. Decker']",The Principal,2012,9781452256146
17815,"['Arthur L. Costa', 'Robert J. Garmston']",Cognitive Coaching,2015,9781442223660
17816,['Dr. Robert Cunard'],The Successful Principal,2017,9781475837780
17817,['Kent Angelo Q. Padillo'],Crime Scene Series,2016,9781468968309
17818,['William Kent Krueger'],The William Kent Krueger Collection #4,2015,9781451691115
17819,"['Kent Hoffman', 'Glen Cooper', 'Bert Powell']",Raising a Secure Child,2017,9781462527632
17820,"['Richard Norton-Taylor', 'Nicolas Kent', 'Victoria Brittain', 'Gillian Slovo']",The Tricycle,2014,9781783195671
17821,['Andrew Kent'],Spam & Eggs,2009,9781598588644
17822,"['Alison Kent', 'Karen Anders', 'Debbi Rawlins', 'Dawn Atkins', 'Joanne Rock', 'Elle Kennedy']",One-Click Buy: March 2009 Harlequin Blaze,2009,9781426830518
17823,['William Kent Krueger'],The Devil's Bed,2003,9780743478830
17824,['William Kent Krueger'],Trickster's Point,2013,9781451645712
17825,"['Kent Sinclair', 'Leigh B. Middleditch, Jr.']",Virginia Civil Procedure,2020,9781663304698
17826,['Kent S Brown'],Riders In The Sunlight,2013,9781611606423
17827,['Ashley Warlick'],The Summer After June,2001,9780618127306
17828,['Ashley Warlick'],The Arrangement,2017,9780143128984
17829,['Ashley Warlick'],The Distance from the Heart of Things,1997,9780395860311
17830,['Ashley Warlick'],Seek the Living,2005,9780618341481
17831,['Ashley Warlick'],Smaki milosci,2018,9788324053353
17832,['Ashley Warlick'],Seek the Living,2005,9780618711987
17833,['Bill Shipp'],Murder at Broad River Bridge,2017,9780820351612
17834,['Bill Winsor'],Let's Cross Before Dark,2022,9781665565615
17835,"['Ken Brown, Sr.', 'Jim Ignasher', 'Bill Pilkington']",Smithfield,2008,9780738555386
17836,['Bill Neal'],Getting Away with Murder on the Texas Frontier,2006,9780896725799
